id	name
947	Montila, M. 
948	Pensak, M.
949	Poch, J.
950	SEOR, S.E.-F.
951	Tysome, K. &.
952	Jiménez Murillo y Montero Pérez
953	Kumar & Clark
954	Kasper, e.a.
955	Longmore et al
956	Ian Wilkinson
957	Hampton, J.
958	Mandell, J.
959	Pagana et al
960	Caimi y Caimi
961	Jiménez Murillo y Montero Pérez
962	Rivas Jiménez, M
963	Arancibia y Ugarte
964	Argente & Alvarez
965	Nicola Zammit
966	Benjamín, I.
967	Bhat et al
968	Bhat et al
969	Bickley
970	Douglas et al
971	Lorenzo, e.a.
972	Goic et al
973	Laso, F.J.
974	McGee, S.
975	Pérez Arellano, A.J.
976	Prieto Valtueña, JM
977	Raftery et al
978	Rozman y Cardellach López
979	Surós y Surós
980	Walker, e.a.
981	Hampton, J.
982	Herring, W.
983	Houghton & Gray
984	Laposata, M.
985	Smith & Farrell
986	Acuña, R. e.
987	Schneider, & L.
988	Black, &.A.
989	Burton, N.
990	Capponi, M.R.
991	Carlat, D.
992	Casey, &.B.
993	Casey, &.K.
994	Cowen, e.a.
995	Eguiluz, U.I.
996	Fish, F.
997	Ganti, &.K.
998	Gask, e.a.
999	McCarron, e.a.
1000	Milhorn, H.
1001	Morris, &.R.
1002	Owen, e.a.
1003	Oyebode, F.
1004	Semple, &.S.
1005	Shea, C.
1006	Tizón, G.e.
1007	Valdivia, M.
1008	Vallejo, R.J.
1009	VV.AA.
1010	VV.AA. CIE-10
1011	Euliano & Gravenstein 
1012	Euliano & Gravenstein 
1013	Jiménez Murillo y Montero Pérez
1014	Giménez, M.
1015	Quíck et al
1016	Hampton, J.
1017	Mandell, J.
1018	Pagana et al
1019	Arancibia y Ugarte
1020	Caimi y Caimi
1021	Herrera, e.a.
1022	Jiménez Murillo y Montero Pérez
1023	Rivas Jiménez, M
1024	Brunicardi et al
1025	Burdiles, P.
1026	Carvajal, C.
1027	Doherty, G.M.
1028	Doherty, G.M.
1029	Espinoza, R.
1030	Parrilla, P.
1031	Townsend et al
1032	Townsend et al
1033	Hampton, J.
1034	Herring, W.
1035	Houghton & Gray
1036	Laposata, M.
1037	Smith & Farrell
1038	American Academy of Orthopedic Surgeons
1039	Skinner, H
1040	Balibrea, J.
1041	Cuello M., Miranda V. Y Ralph C.
1042	Dashe, K.
1043	Bradshaw, Karen D., Corton, Marlene M., Halvorson, Lisa M., Hoffman, Barbara L., Schaffer, Marlene., & Schorge, John O.
1044	Ebensperger, E., & Lizana, J.
1045	Beckmann et al
1046	Dechernety et al
1047	Gabbe et al
1048	Hoffman, &.S.
1049	Hoffman, &.S.
1050	Kenny & Bickerstaff
1051	Lobo et al
1052	Matorras y Remohi
1053	Resnick., C. &.
1054	Roura y Rodríguez
1055	Strauss & Barbieri
1056	Chantal, e.a.
1057	Martín Zurro, Amando
1058	Kopitowski et al
1059	Montero, L.
1060	Smith & Shimp
1061	Alvarez, A.R.
1062	Burr, C.P.-L.
1063	Gilbert, e.a.
1064	Montero, J.T.
1065	Nerio., R.G.
1066	Oyarce, P.A.
1067	Soto G. Lutzow J,M.A.
1068	VV.AA.
1069	Arancibia, Y. U.
1070	Argente & Alvarez
1071	Nicola Zammit
1072	Benjamín, I.
1073	Bhat et al
1074	Bhat et al
1075	Bickley
1076	Burdiles, P.
1077	Brunicardi et al
1078	Caimi y Caimi
1079	Carvajal, C.
1080	Cruz Hernández et al
1081	D'Hyver & Gutierrez
1082	Doherty, G.M.
1083	Doherty, G.M.
1084	Douglas et al
1085	Lorenzo, e.a.
1086	Giménez, M.
1087	Gil Gregorio, P
1088	Goic et al
1089	Gutiérrez et al
1090	Ham et al
1091	Hampton, J.
1092	Hampton, J.
1093	Herring, W.
1094	Houghton & Gray
1095	Jiménez Murillo y Montero Pérez
1096	Jiménez Murillo y Montero Pérez
1097	Kaisary et al
1098	Kane et al
1099	Kasper, e.a.
1100	King & Lipsky
1101	Kumar & Clark
1102	Laposata, M.
1103	Laso, F.J.
1104	Longmore et al
1105	Ian Wilkinson
1106	Lorenzo, e.a.
