asignatura	semestre	detalle	tipoBibliografia	copias	id	disponibilidad	carrera	
Topografía y Cartografía	SEGUNDO	Romeo, C. T.'!'. R.|1996|Topografía|Mundi-Prensa.	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Casanova, L.|2002|Topografía plana|Universidad de los Andes Facultad de Ingeniería. Departamento de Vías. Venezuela.	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Leonardo, C. M.|2002|Topografía Plana|Taller de Publicaciones de Ingeniería ULA|Mérida. Venezuela.	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	MARIA ISABEL SI LLANO,JORGE PEREZ ROJAS|0|DICCIONARIO DE MINERIA|0	COMPLEMENTARIA	0	0	0	asistenteGeologia	
0	0	Buzai, G. D., & Baxendale, C. A.|2006|Análisis socioespacial con sistemas de información geográfica|Lugar	OBLIGATORIA	1	28358	1	asistenteGeologia	
0	0	Gómez Delgado, M., Cano, B., & Ignaciocoaut, J.|2006|Sistemas de Información Geográfica y evaluación multicriterio en la ordenación del territorio|0	OBLIGATORIA	2	28275	1	asistenteGeologia	
0	0	Sendra, J. B.|1994|Sistema de información geográfica|0	COMPLEMENTARIA	2	4025	1	asistenteGeologia	
Microscopía 	0	Romero, T. D .. & Martínez, E. P.|2012|Propiedades básicas de petrografía óptica aplicadas a la clasificación y estudio de las rocas ígneas. Enseñanza de las Ciencias de la Tierra|0	OBLIGATORIA	0	0	0	asistenteGeologia	
0	0	Tarbuck, E. J., & Lutgens, F. K.|2005|Ciencias de la Tierra|Universitario	OBLIGATORIA	3	25951	1	asistenteGeologia	
0	0	Kerr, P. F.|1965|Mineralogía óptica|0	COMPLEMENTARIA	1	21689	1	asistenteGeologia	
0	0	González Bonorino, F.|1976|Mineralogía óptica|EU DEBA Buenos Aires	COMPLEMENTARIA	1	26038	1	asistenteGeologia	
0	0	Perkins, D., l Ienke, K. R., & Kevin, R. 11.|2002|Minerales en lámina delgada|0	COMPLEMENTARIA	1	26061	1	asistenteGeologia	
0	0	Klein, C., & l lurlbut, C. S.|1997|Manual de mineralogía Vol. 2|Reverté.	COMPLEMENTARIA	21	9793	1	asistenteGeologia	
0	0	Kraus, 11., l lunt, E. F .. Ramsdell, W. S., & Alvargonzález, L. N.|1965|Mineralogía: Una introducción el estudio de minerales y cristales|0	COMPLEMENTARIA	3	17038	1	asistenteGeologia	
Muestreo Geológico	0	Cochran, W. G.|2015|TÉCNICAS DE MUESTREO|0	OBLIGATORIA	10	3020	1	asistenteGeologia	
0	0	Ballou, R. H., & de Lemus, P. R.|1991|Logística empresarial: control y planificación|Díaz de Santos.	OBLIGATORIA	1	636	1	asistenteGeologia	
0	0	Silvia Maturana|0|Primeros Auxilios (Incluye Cd) Helvio Soto Salles, Riesgos Y Peligros: Exploraciones Geologicas Para La Minería En Gran Altura Geografica|0	COMPLEMENTARIA	1	28736	1	asistenteGeologia	
Inglés II	SEGUNDO	UDA English Center|2018|Material propio elaborado por académicos|0	OBLIGATORIA	0	0	0	asistenteGeologia	
Inglés II	SEGUNDO	Hill, H.|2016|Diccionario Cambridge Pocket|10|Cambridge University Press.	COMPLEMENTARIA	20	28320	1	asistenteGeologia	
Inglés II	SEGUNDO	Marks, J.|2007|English Pronunciation in Use Elementary|Cambridge University Press.	COMPLEMENTARIA	2	28421	1	asistenteGeologia	
Inglés II	SEGUNDO	McCarthy, M., McCarten, J., & Sandiford, H.|2014|Touchstone 1|2|Cambridge University Press	COMPLEMENTARIA	1	28297	1	asistenteGeologia	
Inglés II	SEGUNDO	Murphy, R.|2015|English Grammar in Use Elementary|Cambridge University Press	COMPLEMENTARIA	2	26240	1	asistenteGeologia	
Inglés II	SEGUNDO	Wilson, K.|2016|Smart Choice 1|3|Oxford University Press	COMPLEMENTARIA	3	27243	1	asistenteGeologia	
Inglés II	SEGUNDO	Wilson, K., & Healy, T.|2016|Smart Choice Starter|3|Oxford University Press	COMPLEMENTARIA	3	27245	1	asistenteGeologia	
