PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO AUDITOR CONTABLE Y TRIBUTARIO					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Legislación Empresarial II		• Fernando Torres Cárdenas, (2013), Manual de Consultas IFRS Implementación NIIF para PYMES	OBLIGATORIA	2	28125	1
Legislación Empresarial II		Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0		0
Taller II Herramientas Web'S Contable, Tributario y Laboral 		Jelen, B. (201 O). Exce/ Macros y VBA. Madrid: Anaya Multimedia.	NO INDICA	1	22931	1
Taller II Herramientas Web'S Contable, Tributario y Laboral 		• Menchen, P. A. (2009). Tablas tilnemices en Exce/ 2007. México: Alfaomega.	NO INDICA	3	22925	1
Taller II Herramientas Web'S Contable, Tributario y Laboral 		• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	NO INDICA	1	20743	1
Taller II Herramientas Web'S Contable, Tributario y Laboral 		• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	NO INDICA	2	22697	1
Taller II Herramientas Web'S Contable, Tributario y Laboral 		• Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.	NO INDICA	3	19430	1
Taller II Herramientas Web'S Contable, Tributario y Laboral 		• Online Training Solutions, lnc. (2004). Microsoft Office Word 2003 paso a paso. Madrid: McGraw-Hill, lnteramericana de España.	NO INDICA	3	22688	1
Inglés II 		DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0		0
Inglés II 		• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	20	28320	1
Inglés II 		• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	2	28421	1
Inglés II 		"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	1	28297	1
Inglés II 		• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	22	26240-10050-18172	1
Inglés II 		• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27243	1
Inglés II 		• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	3	27242	1
Control De Gestión 		Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	OBLIGATORIA	0		0
Control De Gestión 		• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	OBLIGATORIA	0		0
Control De Gestión 		• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019 2018	OBLIGATORIA	0		0
Control De Gestión 		• Vicente Salort S., (2018), Código Tributario ed. Premium 2018 2018	OBLIGATORIA	1	28085	1
Control De Gestión 		• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	OBLIGATORIA	0		0
Control De Gestión 		• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	OBLIGATORIA	0		0
Control De Gestión 		• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0		0
Control De Gestión 		• Humberto Varas C., (2018). Fundamentos de la Contabilidad de Costos	OBLIGATORIA	2	28132	1
Control De Gestión 		• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	OBLIGATORIA	0		0
Control De Gestión 		Fernando Torres Cárdenas, (2013), Manual de Consultas IFRS Implementación NIIF para PYMES	COMPLEMENTARIA	2	28125	1
Control De Gestión 		• Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile	COMPLEMENTARIA	0		0
Control De Gestión 		• Matilde Pacheco Cañete, (2000); Régimen legal de la auditoría de cuentas y responsabilidad de los auditores; Consejo Económico y Social	COMPLEMENTARIA	1	18591	1
Control De Gestión 		• Instituto Mexicano de Contadores Públicos; (1996); Normas y Procedimientos de Auditoria	COMPLEMENTARIA	1	11327	1
Control De Gestión 		Arthur W. Holmes [y] Wayne S. Overmyer; (1997); Principios Básicos de Auditoría; McGraw-Hill lnteramericana	COMPLEMENTARIA	1	11326	1
Control De Gestión 		• Gustavo Cepeda Alonso; (1997); Auditoría y control interno; McGraw-Hill lnteramericana	COMPLEMENTARIA	1	10847	1
Control De Gestión 		• Colegio de contadores de Chile A.G; (1997); Normas de Auditoría Generalmente Aceptadas; Colegio de contadores de Chile A.G	COMPLEMENTARIA	0		0
Formulación y Evaluación de Proyectos 		Sapag, N. (2011 ). Proyectos de inversión: Formulación y evaluación. Chile: PEARSON.	OBLIGATORIA	4	24740	1
Formulación y Evaluación de Proyectos 		• Sapag, N. (2003). Preparación y Evaluación de Proyectos. Chile: McGraw-Hill lnteramericana.	OBLIGATORIA	35	582 - 18663 - 13472 - 27130 - 757	1
Formulación y Evaluación de Proyectos 		• Ocampo, S. J. E. (2007). Costos y eveluecion de proyectos.	COMPLEMENTARIA	5	22159	1
Formulación y Evaluación de Proyectos 		• Baca, G. (2006). Evaluación de proyectos. México: McGraw-Hill.	COMPLEMENTARIA	4	2808-22553	1
Tics en la Gestión de la Contabilidad 				0		0
Taller III Tributario y Contable		Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	NO INDICA	0		0
Taller III Tributario y Contable		• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	NO INDICA	0		0
Taller III Tributario y Contable		• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019 2018	NO INDICA	0		0
Taller III Tributario y Contable		• Vicente Salort S, (2018), Código Tributario ed. Premium 2018 2018	NO INDICA	1	28085	1
Taller III Tributario y Contable		• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	NO INDICA	0		0
Taller III Tributario y Contable		• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	NO INDICA	0		0
Taller III Tributario y Contable		• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	NO INDICA	0		0
Taller III Tributario y Contable		• Humberto Varas C .. (2018), Fundamentos de la Contabilidad de Costos	NO INDICA	2	28132	1
Taller III Tributario y Contable		• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	NO INDICA	0		0
Taller III Tributario y Contable		• Fernando Torres Cárdenas, (2013), Manual de Consultas IFRS Implementación NIIF para PYMES	NO INDICA	2	28125	1
Taller III Tributario y Contable		• Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile	NO INDICA	0		0
Proyecto de Titulación 		Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0		0
Proyecto de Titulación 		• M uñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	6	18904-24839	1
Proyecto de Titulación 		• Ñaupas, P. H., Yaldivia, D.M. R., Palacios, Y. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	COMPLEMENTARIA	9	27861	1
Proyecto de Titulación 		• Hernández, S. R., & Fernández, C. C. B. L. M. P. (January O 1, 201 O). Metodología de la investigación.	COMPLEMENTARIA	37	5098-22516-25115-25859-28759	1
Practica Laboral 		Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
Practica Laboral 		"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	1	22639	1
Practica Laboral 		Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1
Practica Laboral 		Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
Practica Laboral 		Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
Practica Laboral 		"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	1	22639	1
Practica Laboral 		Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1
Practica Laboral 		Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
