BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
ESTADISTICA I	201	· Mendenhall, William; Wackerly, Dennis; Acheaffer, Richard. Estadística Matemática con Aplicaciones. Segunda Edición. Grupo Editorial Iberoamericana México. 1994. 519.5 M537.	NO INDICA	1	2587	0
ESTADISTICA I	201	· Miller, Irwin; Freund, John E.; Johnson, Richard A. Probabilidad y Estadística para Ingenieros. Quinta Edición. Prentice Hall Hispanoamericana México. 1997. 519.5 M647.	NO INDICA	6	2416	
ESTADISTICA I	201	· Walpole, Ronald E. y Myers, Raymond H. Probabilidad y Estadística. Mac Graw Hill. 1992. 519.2 W219	NO INDICA	8	2207-19437	
ESTADISTICA I	201	· Meyer, Paul. Probabilidad y Aplicaciones Estadísticas. Fondo Educativo Interamericano México. 1992. 519.5 M613p.	NO INDICA	5	2561	
ESTADISTICA I	201	· Spiegel, Murray. Estadística. Segunda Edición. Mc Graw Hill Madrid. 1997. 519.5 S755e.	NO INDICA	1	9338	0
ESTADISTICA II	202	· John E. Freund – Irwin Miller – Marylees Miller. Estadística Matemática con Aplicaciones. Grupo Editorial Prentice Hall.	NO INDICA	103	18165	
ESTADISTICA II	202	· Heleno Bolfarine - Mónica Carneiro Sandoval. Introdução á Inferência Estadística. Editorial Sociedad Brasileira de Matemática.	NO INDICA	0		
ESTADISTICA II	202	· Jay L. Devore. Probabilidad y Estadística para Ingeniería y Ciencias. Grupo Editorial International Thon Editores.	NO INDICA	18	20883-25558	
ESTADISTICA II	202	· Scheaffer Mc Clave. Probabilidad y Estadística para Ingeniería. Grupo Editorial Iberoamericana.	NO INDICA	0		
ESTADISTICA II	202	· Montgomery, Douglas C.; Runger, George C. Probabilidad y Estadística Aplicadas a la Ingeniería. Primera Edición. Mc Graw Hill México. 1996. 519.2 M787.	NO INDICA	15	7576-25911	
