id	internalId	name	year	edition	obligatory	copies
308	0	Oxford Handbook of Clinical Psiquiatría	2013	0	0	0
309	0	Psychiatric Interviewing: The Art of Understanding	2017	0	0	1
310	0	Manual de Psiquiatría Infantil: Guía Clínica para Pediatras y Médicos Generales	2017	0	0	0
311	0	Introducción a la Psicopatología y a la Psiquiatría	2015	0	0	5
312	0	CIE-10: Trastornos Mentales y del Comportamiento	1993	0	0	0
313	0	Manual Diagnóstico y Estadístico de los Trastornos Mentales DSM5	2014	0	0	5
314	0	Manual de Patología General. Sisinio de Castro	2013	0	1	5
315	0	Pathophysiology of Disease: An Introduction to Clinical Medicine	2014	0	0	0
316	0	Harrison Principios de Medicina Interna T1-2	2016	0	0	28
317	0	Introducción a la Medicina Clínica: Fisiopatología y Semiología	2015	0	0	2
318	0	Medicina Interna de Farreras Rozman T1-2	2016	0	0	12
319	0	Color Atlas of Pathophysiology	2016	0	0	0
320	0	Davidson's Principles and Practice of Medicine	2014	0	0	5
321	0	Rapid Review Pathology	2014	0	0	2
322	0	Robbins Patología Humana	2013	0	0	0
323	0	Robbins & Cotran Pathologic Basis of Disease (español)	2014	0	0	5
324	0	Essentials of Rubin's Pathology	2015	0	0	0
325	0	Pathology BRS	2014	0	0	2
326	0	Rubin's Pathology: Clínico-Pathological Foundations of Medicine (español)	2017	0	0	10
327	0	Bates Guía de Exploración Física e Historia Clínica	2013	0	1	5
328	0	Semiología Médica	2018	0	1	12
329	0	Core Radiology	2013	0	1	15
330	0	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-aprendizaje centrada en la persona	2013	0	0	10
331	0	Compendio de Anamnesis y Exploración Física	2014	0	0	2
332	0	Manual de Exploración Física: Basado en la Persona, el Síntoma y la Evidencia	2012	0	0	0
333	0	McLeod Exploración Clínica	2014	0	0	5
334	0	ECG en la Práctica	2014	0	0	5
335	0	ECG Fácil	2014	0	0	5
336	0	Radiología Básica: Aspectos Fundamentales	2016	0	0	8
337	0	Making Sence of the ECG: A Hands-On Guide	2014	0	0	5
338	0	Harrison Principios de Medicina Interna T1-2	2016	0	0	28
339	0	Manual de Razonamiento Clínico	2011	0	0	1
340	0	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	2014	0	0	0
341	0	Introducción a la Medicina Clínica: Fisiopatología y Semiología	2015	0	0	2
342	0	DeGowin's Diagnostic Examination	2015	0	0	2
343	0	Evidence-Based Physical Diagnosis	2018	0	0	5
344	0	Mosby's Diagnostic and Laboratory Test Reference	2012	0	0	2
345	0	Manual de Patología General. Sisinio de Castro	2013	0	0	5
346	0	Exploración Clínica Práctica de Noguer-Balcells	2016	0	0	5
347	0	Medicina Interna de Farreras Rozman T1-2	2016	0	0	12
348	0	Radiology 101: The Basics & Fundamentals of Imaging	2014	0	0	0
349	0	Rubin's Pathology: Clínico-Pathological Foundations of Medicine (español)	2017	0	0	10
350	0	semiología Médica y Técnica Exploratoria	2001	0	0	2
351	0	Textbook of Physical Diagnosis: History and Examination (5 en español)	2014	0	0	7
352	0	Goodman & Gilman's Pharmacological Basic of Therapeutics	2017	0	1	0
353	0	Goodman & Gilman. Las Bases Farmacológicas de la Terapéutica	2012	0	1	8
354	0	Farmacología Humana	2014	0	1	8
355	0	Manual Washington de Terapéutica Médica	2017	0	0	10
356	0	Principios de Farmacología: Bases Fisiopatológicas del Tratamiento Farmacológico	2017	0	0	2
357	0	Farmacología RT	2015	0	0	0
358	0	Velázquez Farmacología Básica y Clínica	2008	0	0	5
359	0	Manual de Farmacología Básica y Clínica de Velazquez	2012	0	0	0
360	0	Farmacología: Texto y Atlas	2010	0	0	0
361	0	Medical Pharmacology at a Glance	2015	0	0	0
362	0	"Cursos ""Crash"": Lo esencial en Farmacología"	2013	0	0	0
363	0	Stockley's Drug Interactions: A Source Book of Interactions, Their Mechanisms, Clinical Importanceand Management	2016	0	0	0
364	0	Rang y Dale Farmacología	2016	0	0	2
365	0	Oxford Handbook of Práctical Drug Therapy	2011	0	0	0
366	0	Guía de Farmacología y Terapéutica	2014	0	0	0
367	0	Pharmacology Examination and Board Review	2015	0	0	0
368	0	Farmacología Básica y Clínica	2016	0	0	5
369	0	Farmacología LIR	2016	0	0	2
370	0	Infectious Diseases Essentials: Principles and practice of Infectious Diseases (español)	2016	0	1	10
371	0	Medical Microbiology for the new Curriculum. A case-base approach	2008	0	1	0
372	0	Microbiología Médica Jawetz, Melnick y Adelberg	2016	0	1	10
373	0	Schaechter, Mecanismos de las enfermedades microbianas	2013	0	1	0
